step,hp_metric,lr-AdamW,lr-AdamW-1,lr-AdamW-2,train/G_total,train/G_l2,train/G_lpips,train/G_gan_sem,train/G_gan_tex,train/D_tex_grad_norm,train/D_sem_total,train/D_sem_real,train/D_sem_fake,train/D_tex_total,train/D_tex_real,train/D_tex_fake,train/D_total,epoch
0,-1.0,9.999999747378752e-06,9.999999747378752e-06,9.999999747378752e-06,,,,,,,,,,,,,,
19,,,,,-1.8260173797607422,0.017316259443759918,0.1353759765625,0.5212903618812561,-2.5,13471.0703125,4.174552917480469,2.8275113105773926,1.3470416069030762,2.0080299377441406,0.05124905705451965,0.05927884578704834,6.182582855224609,0.0
39,,,,,-1.8260173797607422,0.017316259443759918,0.1353759765625,0.5212903618812561,-2.5,13567.091796875,4.502079010009766,2.0291404724121094,2.4729387760162354,2.000389814376831,0.05396097153425217,0.05435091257095337,6.502469062805176,0.0
59,,,,,-1.8260173797607422,0.017316259443759918,0.1353759765625,0.5212903618812561,-2.5,23251.525390625,4.63599157333374,2.3114750385284424,2.324516534805298,1.9970417022705078,0.02735843136906624,0.024400072172284126,6.633033275604248,0.0
79,,,,,-1.8260173797607422,0.017316259443759918,0.1353759765625,0.5212903618812561,-2.5,36705.31640625,4.217667102813721,2.303417205810547,1.9142498970031738,1.9944446086883545,0.05655152350664139,0.05099613592028618,6.212111473083496,0.0
99,,,,,-1.8260173797607422,0.017316259443759918,0.1353759765625,0.5212903618812561,-2.5,17223.28125,4.13688850402832,2.8313145637512207,1.30557382106781,1.9961285591125488,-0.014684636145830154,-0.018556062132120132,6.133017063140869,0.0
119,,,,,-1.8260173797607422,0.017316259443759918,0.1353759765625,0.5212903618812561,-2.5,23752.466796875,4.1198883056640625,2.7386116981506348,1.3812766075134277,1.9968202114105225,0.04545442387461662,0.04227473586797714,6.116708755493164,0.0
139,,,,,-1.8260173797607422,0.017316259443759918,0.1353759765625,0.5212903618812561,-2.5,27376.55859375,4.086416244506836,2.655348777770996,1.431067705154419,1.9550306797027588,0.04234807565808296,-0.002621276304125786,6.041446685791016,0.0
159,,,,,-1.8260173797607422,0.017316259443759918,0.1353759765625,0.5212903618812561,-2.5,72917.9140625,4.087690353393555,2.5536043643951416,1.5340858697891235,1.9969899654388428,0.024496082216501236,0.02148601785302162,6.084680557250977,0.0
179,,,,,-1.8260173797607422,0.017316259443759918,0.1353759765625,0.5212903618812561,-2.5,21354.421875,4.299805641174316,2.3425047397613525,1.9573009014129639,1.9851751327514648,0.03458527475595474,0.019760359078645706,6.284980773925781,0.0
199,,,,,-1.8260173797607422,0.017316259443759918,0.1353759765625,0.5212903618812561,-2.5,73130.125,4.291133880615234,2.321944236755371,1.9691897630691528,1.8791314363479614,-0.202015683054924,-0.322884202003479,6.170265197753906,0.0
219,,,,,-1.8260173797607422,0.017316259443759918,0.1353759765625,0.5212903618812561,-2.5,66060.109375,4.198890209197998,2.4158334732055664,1.7830567359924316,1.9391522407531738,0.007241364568471909,-0.053606413304805756,6.138042449951172,0.0
239,,,,,-1.8260173797607422,0.017316259443759918,0.1353759765625,0.5212903618812561,-2.5,89475.7265625,4.067009925842285,2.6624224185943604,1.4045875072479248,1.9098854064941406,-0.023940321058034897,-0.11405496299266815,5.976895332336426,0.0
259,,,,,-1.8260173797607422,0.017316259443759918,0.1353759765625,0.5212903618812561,-2.5,45542.4921875,4.094333648681641,2.7436203956604004,1.3507132530212402,1.9196958541870117,-0.01117229089140892,-0.0914764478802681,6.014029502868652,0.0
279,,,,,-1.8260173797607422,0.017316259443759918,0.1353759765625,0.5212903618812561,-2.5,106561.40625,4.044488906860352,2.5720276832580566,1.4724609851837158,1.9812605381011963,-0.4902575612068176,-0.5089969635009766,6.025749206542969,0.0
299,,,,,-1.8260173797607422,0.017316259443759918,0.1353759765625,0.5212903618812561,-2.5,141845.40625,4.07236385345459,2.648768424987793,1.4235953092575073,1.861228108406067,0.061145469546318054,-0.07762639224529266,5.933591842651367,0.0
319,,,,,-1.8260173797607422,0.017316259443759918,0.1353759765625,0.5212903618812561,-2.5,371089.875,4.044322967529297,2.6223273277282715,1.4219955205917358,1.7338292598724365,0.04852645471692085,-0.2176443636417389,5.7781524658203125,0.0
339,,,,,-1.8260173797607422,0.017316259443759918,0.1353759765625,0.5212903618812561,-2.5,43107.99609375,4.079051971435547,2.3602001667022705,1.7188518047332764,1.9464049339294434,0.12802322208881378,0.0744280219078064,6.02545690536499,0.0
359,,,,,-1.8260173797607422,0.017316259443759918,0.1353759765625,0.5212903618812561,-2.5,153061.125,4.094906330108643,2.2617545127868652,1.8331516981124878,1.9125804901123047,-0.7259716391563416,-0.8133912086486816,6.007486820220947,0.0
379,,,,,-1.8260173797607422,0.017316259443759918,0.1353759765625,0.5212903618812561,-2.5,184035.0625,4.056787967681885,2.293039560317993,1.7637485265731812,1.9727699756622314,0.1120709702372551,0.0848410353064537,6.029558181762695,0.0
399,,,,,-1.8260173797607422,0.017316259443759918,0.1353759765625,0.5212903618812561,-2.5,306506.5,3.967482805252075,2.3360161781311035,1.6314666271209717,1.8017337322235107,-0.6169185638427734,-0.8151848912239075,5.769216537475586,0.0
419,,,,,-1.8260173797607422,0.017316259443759918,0.1353759765625,0.5212903618812561,-2.5,114754.2109375,4.070521354675293,2.60272216796875,1.467799425125122,1.9513733386993408,0.04113586246967316,-0.007490789517760277,6.021894454956055,0.0
439,,,,,-1.8260173797607422,0.017316259443759918,0.1353759765625,0.5212903618812561,-2.5,257732.84375,3.9784328937530518,2.5083065032958984,1.4701263904571533,1.357177972793579,-0.30838918685913086,-0.951211154460907,5.335610866546631,0.0
459,,,,,-1.8260173797607422,0.017316259443759918,0.1353759765625,0.5212903618812561,-2.5,257158.5,4.028960227966309,2.5240368843078613,1.5049231052398682,1.9101414680480957,0.20200318098068237,0.11214474588632584,5.939101696014404,0.0
479,,,,,-1.8260173797607422,0.017316259443759918,0.1353759765625,0.5212903618812561,-2.5,754647.4375,3.9841299057006836,2.541259765625,1.4428701400756836,2.0067553520202637,0.16504505276679993,0.17180053889751434,5.990885257720947,0.0
499,,,,,-1.8260173797607422,0.017316259443759918,0.1353759765625,0.5212903618812561,-2.5,211443.703125,3.9714038372039795,2.317378282546997,1.6540255546569824,1.914118766784668,0.27127552032470703,0.1853943020105362,5.885522842407227,0.0
519,,,,,-1.8260173797607422,0.017316259443759918,0.1353759765625,0.5212903618812561,-2.5,561231.75,3.9414024353027344,2.4588770866394043,1.48252534866333,1.681420087814331,0.3054945468902588,-0.013085429556667805,5.6228227615356445,0.0
539,,,,,-1.8260173797607422,0.017316259443759918,0.1353759765625,0.5212903618812561,-2.5,523820.75,4.007225036621094,2.4973387718200684,1.5098865032196045,1.630364179611206,0.002077113837003708,-0.36755865812301636,5.637589454650879,0.0
559,,,,,-1.8260173797607422,0.017316259443759918,0.1353759765625,0.5212903618812561,-2.5,906314.3125,3.9884564876556396,2.4777004718780518,1.510756015777588,1.34473717212677,-0.3218855559825897,-0.9771484136581421,5.333193778991699,0.0
579,,,,,-1.8260173797607422,0.017316259443759918,0.1353759765625,0.5212903618812561,-2.5,203010.96875,4.028286457061768,2.3852925300598145,1.6429940462112427,1.6213791370391846,-0.06514759361743927,-0.44376853108406067,5.649665832519531,0.0
599,,,,,-1.8260173797607422,0.017316259443759918,0.1353759765625,0.5212903618812561,-2.5,1059386.625,3.987098217010498,2.453935146331787,1.5331629514694214,1.552825689315796,-0.5528257489204407,-1.001643180847168,5.539923667907715,0.0
